Key;Item Type;Publication Year;Author;Title;categoría recurrente;CSF principal;Takeaway;Abstract;Publication Title;Citations;ISSN;DOI;Url;Year;Date Added;Date Modified;Access Date;Pages;Issue;Volume;Journal Abbreviation
VEHTXG3V;journalArticle;2021;"Onumo, Aristotle; Ullah-Awan, Irfan; Cullen, Andrea";Assessing the Moderating Effect of Security Technologies on Employees Compliance with Cybersecurity Control Procedures;Organizational culture and internal awareness;Gestión y actualización continua de competencias y habilidades del personal de ciberseguridad;Organizational leadership and cultural values significantly influence employee cybersecurity compliance, with security technologies moderating the impact of employee cognitive belief.;The increase in cybersecurity threats and the challenges for organisations to protect their information technology assets has made adherence to organisational security control processes and procedures a critical issue that needs to be adequately addressed. Drawing insight from organisational theory literature, we develop a multi-theory model, combining the elements of the theory of planned behaviour, competing value framework, and technology—organisational and environmental theory to examine how the organisational mechanisms interact with espoused cultural values and employee cognitive belief to influence cybersecurity control procedures. Using a structured questionnaire, we deployed structural equation modelling (SEM) to analyse the survey data obtained from public sector information technology organisations in Nigeria to test the hypothesis on the relationship of socio-organisational mechanisms and techno-cultural factors with other key determinants of employee security behaviour. The results showed that knowledge of cybersecurity and employee cognitive belief significantly influence the employees’ intentions to comply with organisational cybersecurity control mechanisms. The research further noted that the influence of organisational elements such as leadership on employee security behaviour is mediated by espoused cultural values while the impact of employee cognitive belief is moderated by security technologies. For effective cybersecurity compliance, leaders and policymakers are therefore to promote organisational security initiatives that ensure incorporation of cybersecurity principles and practices into job descriptions, routines, and processes. This study contributes to behavioural security research by highlighting the critical role of leadership and cultural values in fostering organisational adherence to prescribed security control mechanisms.;ACM Transactions on Management Information Systems;28;2158-656X, 2158-6578;10.1145/3424282;https://dl.acm.org/doi/10.1145/3424282;2021;12/4/2026 22:54;12/4/2026 22:54;12/4/2026 22:54;1-29;2;12;ACM Trans. Manage. Inf. Syst.
HTBRAE3P;journalArticle;2023;"Krawczyk-Sokołowska, Izabela; Caputa, Wiesława";Awareness of network security and customer value – The company and customer perspective;Financial optimization and efficient allocation of resources;Implementación de métricas claras y tangibles para evaluar desempeño en ciberseguridad;Awareness of network security, including threats, significantly impacts the value of customer relationships and the company's value in the digital age.;"The COVID 19 pandemic, by forcing the need to establish and develop relationships via the network, has significantly accelerated the process of digital transformation. For most enterprises, this means the need to change their business model.
The basis for each model is subjectively defined customer value. This value is both
the input and output of the whole process of building sustainable and profitable relationships with customers. It is believed that in the environment dominated by modern technologies based on the use of the network potential, the value of these relationships reflected in the dually estimated customer value is linked to the awareness of the network potential and the ability to use it.
On the basis of the analysis of the purchasing process in the e-commerce industry in Poland and the research, among others, carried out by banks and other scientific centers or institutions dealing with cybersecurity, it is demonstrated that the awareness of the network potential ought to be assessed not only through the prism of benefits that connect both parties with establishing and developing the relationship, but also threats arising from the need to use online mediated relationships.
It is believed that the use of the potential of virtual space, in which the customer moves, is determined by the awareness of the network potential, the integral component of which is the awareness of security of establishing, maintaining, and developing relationships. This factor, being directly linked to the risk of the relationship, does and will have a significant impact on the process of creating customer relations in the future and thus the company's value.";Technological Forecasting and Social Change;9;00401625;10.1016/j.techfore.2023.122430;https://linkinghub.elsevier.com/retrieve/pii/S0040162523001154;2023;12/4/2026 22:52;12/4/2026 22:52;12/4/2026 22:52;122430;;190;Technological Forecasting and Social Change
YV747KU9;journalArticle;2022;Sawik, Tadeusz;Balancing cybersecurity in a supply chain under direct and indirect cyber risks;Governance and adaptive leadership in cybersecurity;Estandarización mediante marcos regulatorios ajustados al sector telecomunicaciones;This paper presents a stochastic programming formulation for optimizing cybersecurity investments and selecting security controls in a multi-tier supply chain to balance direct and indirect cyber risks.;Cybersecurity is an essential requirement for the sustainability of global supply chains. In this paper, a stochastic programming formulation is presented for optimisation of cybersecurity investment and selection of security controls to mitigate and balance the impact of direct and indirect (propagated) cyber risks in a multi-tier supply chain. Using a network transformation combined with the first-order Taylor series approximation of natural logarithm to linearise the nonlinear constraints, a nonlinear stochastic combinatorial optimisation model is approximated by its linear equivalent. The problem objective is to determine an optimal cybersecurity investment under limited budget and portfolio of security controls for each supply chain node to balance the cybersecurity over the entire supply chain. The minmax objective functions are applied to minimise either the maximum breach probability or the maximum loss of supply chain nodes. Alternatively, maxmin objectives are used to maximise either the minimum non-breach probability or the minimum saving of loss. The proposed integrated modelling approach is illustrated with results of computational study and a comparison of approximated and exact solution values is presented. The decision-making insights are provided and discussed.;International Journal of Production Research;24;0020-7543, 1366-588X;10.1080/00207543.2021.1914356;https://www.tandfonline.com/doi/full/10.1080/00207543.2021.1914356;2021;12/4/2026 22:58;12/4/2026 22:58;12/4/2026 22:58;766-782;2;60;International Journal of Production Research
CXMT7VJS;journalArticle;2022;"Trim, Peter R. J.; Lee, Yang-Im";Combining Sociocultural Intelligence with Artificial Intelligence to Increase Organizational Cyber Security Provision through Enhanced Resilience;Governance and adaptive leadership in cybersecurity;Respuesta rápida y aprendizaje continuo post-incidente para minimizar impactos;Combining sociocultural intelligence with artificial intelligence can enhance organizational cyber security by enhancing resilience through a proactive approach to cyber security management.;Although artificial intelligence (AI) and machine learning (ML) can be deployed to improve cyber security management, not all managers understand the different types of AI/ML and how they are to be deployed alongside the benefits associated with sociocultural intelligence. The aim of this paper was to provide a context within which managers can better appreciate the role that sociocultural intelligence plays so that they can better utilize AI/ML to facilitate cyber threat intelligence (CTI). We focused our attention on explaining how different approaches to intelligence (i.e., the intelligence cycle (IC) and the critical thinking process (CTP)) can be combined and linked with cyber threat intelligence (CTI) so that AI/ML is used effectively. A small group interview was undertaken with five senior security managers based in a range of companies, all of whom had extensive security knowledge and industry experience. The findings suggest that organizational learning, transformational leadership, organizational restructuring, crisis management, and corporate intelligence are fundamental components of threat intelligence and provide a basis upon which a cyber threat intelligence cycle process (CTICP) can be developed to aid the resilience building process. The benefit of this is to increase organizational resilience by more firmly integrating the intelligence activities of the business so that a proactive approach to cyber security management is achieved.;Big Data and Cognitive Computing;24;2504-2289;10.3390/bdcc6040110;https://www.mdpi.com/2504-2289/6/4/110;2022;12/4/2026 22:57;12/4/2026 22:57;12/4/2026 22:57;110;4;6;BDCC
8H2Y3MY4;journalArticle;2023;"Safitra, Muhammad Fakhrul; Lubis, Muharman; Fakhrurroja, Hanif";Counterattacking Cyber Threats: A Framework for the Future of Cybersecurity;Organizational culture and internal awareness;Sensibilización y formación continua de usuarios finales;This framework focuses on integrating capabilities with resilience to enhance organizations' ability to predict, mitigate, respond, and recover from cyber disasters, emphasizing leadership, accountability, and innovation.;Amidst the rapid advancements in the digital landscape, the convergence of digitization and cyber threats presents new challenges for organizational security. This article presents a comprehensive framework that aims to shape the future of cyber security. This framework responds to the complexities of modern cyber threats and provides guidance to organizations to enhance their resilience. The primary focus lies in the integration of capabilities with resilience. By combining these elements into cyber security practices, organizations can improve their ability to predict, mitigate, respond to, and recover from cyber disasters. This article emphasizes the importance of organizational leadership, accountability, and innovation in achieving cyber resilience. As cyber threat challenges continue to evolve, this framework offers strategic guidance to address the intricate dynamics between digitization and cyber security, moving towards a safer and more robust digital environment in the future.;Sustainability;151;2071-1050;10.3390/su151813369;https://www.mdpi.com/2071-1050/15/18/13369;2023;12/4/2026 22:58;12/4/2026 22:58;12/4/2026 22:58;13369;18;15;Sustainability
FKZSVCNT;journalArticle;2023;"Tsiodra, Maria; Panda, Sakshyam; Chronopoulos, Michail; Panaousis, Emmanouil";Cyber Risk Assessment and Optimization: A Small Business Case Study;Technology integration and automation;Aplicación de enfoque holístico que integre procesos, personas y tecnología en la gestión del valor en ciberseguridad;The CENSOR framework optimizes cyber security investments for small businesses, providing more affordable and lower-risk solutions compared to the Set Covering formulation.;"Assessing and controlling cyber risk is the cornerstone of information security management, but also a formidable challenge for organisations due to the uncertainties associated with attacks, the resulting risk exposure, and the availability of scarce resources for investment in mitigation measures. In this paper, we propose a cybersecurity decision-support framework, called CENSOR, for optimal cyber security investment. CENSOR accounts for the serial nature of a cyber attack, the uncertainty in the time required to exploit a vulnerability, and the optimisation of mitigation measures in the presence of a limited budget. First, we evaluate the cost that an organisation incurs due to a cyber security breach that progresses in stages and derive an analytical expression for the distribution of the present value of the cost. Second, we adopt a Set Covering and a Knapsack formulation to derive and compare optimal strategies for investment in mitigation measures. Third, we validate CENSOR via a case study of a small business (SB) based on: (i) the 2020 Common Weakness Enumeration (CWE) top 25 most dangerous software weaknesses; and (ii) the Center for Internet Security (CIS) Controls. Specifically, we demonstrate how the Knapsack formulation provides solutions that are both more affordable and entail lower risk compared to those of the Set Covering formulation. Interestingly, our results confirm that investing more in cybersecurity does not necessarily lead to an analogous cyber risk reduction, which indicates that the latter decelerates beyond a certain point of security investment intensity.";IEEE Access;14;2169-3536;10.1109/ACCESS.2023.3272670;https://ieeexplore.ieee.org/document/10114920/;2023;12/4/2026 22:56;12/4/2026 22:56;12/4/2026 22:56;44467-44481;;11;IEEE Access
DWJNYED9;journalArticle;2021;Orlando, Albina;Cyber Risk Quantification: Investigating the Role of Cyber Value at Risk;Focus on Threat Intelligence and Predictive Analytics (CTI);Priorización de riesgos emergentes mediante inteligencia artificial y análisis de grandes volúmenes de datos;Cyber value at risk (Cy-VaR) can potentially support investment decisions in cybersecurity, aiding in risk reduction and sharing with third parties.;The aim of this paper is to deepen the application of value at risk in the cyber domain, with particular attention to its potential role in security investment valuation. Cyber risk is a fundamental component of the overall risk faced by any organization. In order to plan the size of security investments and to estimate the consequent risk reduction, managers strongly need to quantify it. Accordingly, they can decide about the possibility of sharing residual risk with a third party, such as an insurance company. Recently, cyber risk management techniques are including some risk quantile-based measures that are widely employed in the financial domain. They refer to value at risk that, in the cyber context, takes the name of cyber value at risk (Cy-VaR). In this paper, the main features and challenging issues of Cy-VaR are examined. The possible use of this risk measure in supporting investment decisions in cyber context is discussed, and new risk-based security metrics are proposed. Some simple examples are given to show their potential.;Risks;23;2227-9091;10.3390/risks9100184;https://www.mdpi.com/2227-9091/9/10/184;2021;12/4/2026 22:54;12/4/2026 22:54;12/4/2026 22:54;184;10;9;Risks
ESS2QZ9N;journalArticle;2024;"Okori, Washington; Buteraba, Sarah";Cyber Security Exploits and Management in Telecommunication Companies: The Case of Uganda;Technology integration and automation;Implantación de sistemas automatizados para la detección y respuesta ante incidentes;Telecommunication companies in Uganda face cyber-attacks and threats to their critical information infrastructure, requiring continuous monitoring and innovative cyber security detection and prevention strategies.;This study examined the risks faced by telecommunication companies due to cyber-attacks and threats to their critical information infrastructure. It suggests control measures to avert the vulnerabilities of such infrastructure to cyber attackers. Critical information infrastructure is important to the companies as a revenue enabler and reputation identifier. However, the infrastructure, if not well protected, can be a national security threat, affect the national economy, and disrupt societal integration and business globally. Cyber security is the protection of internet-connected systems, including hardware, software, people, and data, from cyber-attacks. Its threat exploits the increased complexity and connectivity of critical infrastructure systems. The identification of the critical information infrastructure was done through document analysis and discussion with the network technical teams. The infrastructure systems, such as devices, servers, data, database, firewall, and network, were identified in this study as vulnerable to attack. This study suggests a framework to support timely intrusion detection and for the protection of critical information infrastructure. To secure and safeguard the critical information infrastructure from inherent vulnerabilities, it is recommended that continuous monitoring of the critical infrastructure attack gates should be made part of the overall risk management of a telecommunication company, and innovations in cyber security detection and prevention should be harnessed.;Journal of Computer Science and Technology Studies;2;2709-104X;10.32996/jcsts.2024.6.4.10;https://al-kindipublisher.com/index.php/jcsts/article/view/7457;2024;12/4/2026 22:54;12/4/2026 22:54;12/4/2026 22:54;67-76;4;6;JCSTS
PIXV6PLQ;journalArticle;2023;"Marican, Mohamed Noordin Yusuff; Razak, Shukor Abd; Selamat, Ali; Othman, Siti Hajar";Cyber Security Maturity Assessment Framework for Technology Startups: A Systematic Literature Review;Financial optimization and efficient allocation of resources;Evaluación económica continua y alineación de inversión en seguridad con objetivos de negocio;There is a lack of a comprehensive cyber security maturity assessment framework for technology startups, causing them to be vulnerable to cyber-attacks and requiring further research on the quantification of security investments.;Cybersecurity has gained increasing importance among firms of different sizes and industries due to the significant rise of cyber-attacks over time. Technology startups are particularly vulnerable to cyber-attacks due to the lack of cyber security measures. This is because of limited human capital and financial resources to quantify cyber risks and allocate appropriate investments to cyber security. Technology startups are suppliers and vendors to large organisations such as MNCs, government and financial institutions. They could possibly have a network connection back to the large organisations and might even store confidential information of these large organisations such as financial records, personal data and other proprietary information. As such, with the lack of appropriate cyber security measures, technology startups may be an attack vector for malicious hackers to gain entry to the large organisations. Focusing on technology startups, this study conducted a systematic literature review on cyber security maturity assessment frameworks. This study addressed five research questions on the existing cyber security maturity assessment frameworks in various industries, the target for implementation, cyber security maturity level, shared control domains of these frameworks, and the quantification of the return of cyber security investments. Referring to the Preferred Reporting Items for Systematic Reviews and Meta-Analysis (PRISMA) checklist, a detailed analysis was performed on 24 published research articles (out of 650) from reputable journals and conference proceedings from January 2011 to June 2022. The results revealed the lack of an end-to-end cyber security maturity assessment framework for technology startups. Despite the similarities in the cyber security maturity level for certain frameworks, the results revealed no singular framework that can evaluate the cyber security maturity level of technology startups. The results further revealed the lack of studies on the quantification of the return of cyber security investments in an end-to-end cyber security maturity assessment framework for technology startups. This put the startup in a vulnerable position since management is not able to obtain relevant data on the startup’s cyber maturity posture and without such information, they are not able to appropriately justify their security investments to mitigate the evolving cyber risks.;IEEE Access;13;2169-3536;10.1109/ACCESS.2022.3229766;https://ieeexplore.ieee.org/document/9989381/;2023;12/4/2026 22:53;12/4/2026 22:53;12/4/2026 22:53;5442-5452;;11;IEEE Access
EQMMLHHJ;journalArticle;2025;"Bongiovanni, Ivano; Goyeneche, David; Tsen, Elinor; James, Edidiong Christopher; Singh, Priyanka; Ko, Ryan";Cyber-attackers as a social force: conceptualizing value sabotage in cybersecurity services;Organizational culture and internal awareness;Estrategias de gestión de datos sensibles para reducir vulnerabilidades;Cyber-attackers play a critical role in shaping service dynamics and value co-creation in cybersecurity, driving innovation and adaptation, highlighting the need for adaptive strategies to counter cyber-attacks.;"This paper examines the role of cyber-attackers as a critical social force within the cybersecurity service ecosystem. We propose a conceptual framework that integrates attackers into the traditional service triad, reframing them as attackers who influence value co-creation and service dynamics within the cybersecurity industry, particularly in the context of Cybersecurity-as-a-Service (CSaaS). We conclude that cyber-attackers represent agents of “value sabotage,” a novel concept that captures how threat actors reshape service dynamics.
The study draws on a review of service management and cybersecurity literature, complemented by case studies of notable cyber-attacks. Building on service-dominant logic and ecosystem theory, a conceptual framework is developed, positioning attackers as influential disruptors within the CSaaS ecosystem.
The findings reveal attackers as adversarial social forces driving innovation and adaptation in the CSaaS ecosystem. An analysis of their motivations and strategies reveals how their actions compel organizations and service providers to prioritize resilience and defensive value co-creation. In turn, attackers' actions “sabotage” the value co-creation process. Our proposed framework demonstrates a transition from dyadic to triadic service interactions, incorporating attackers as critical agents.
Future research could explore the generalizability of this framework across other industries and more specific comparisons between value sabotage and value co-destruction. Additional social forces could also be considered, such as regulators and end-customers (pentadic model).
The findings underscore the need for organizations to adopt adaptive service strategies that prioritize resilience, threat anticipation and collaboration to counter cyber-attacks.
This paper uniquely positions attackers as active contributors to the service ecosystem, extending service theory and challenging conventional notions of value co-creation in service management through the novel concept of “value sabotage.” Framing attackers as malicious orchestrators of disruption, our work offers a new lens to understand how threat actors shape service design, resilience and co-creation strategies in digitally mediated service environments.";Journal of Service Management;1;1757-5818, 1757-5826;10.1108/JOSM-12-2024-0537;https://www.emerald.com/josm/article/doi/10.1108/JOSM-12-2024-0537/1325831/Cyber-attackers-as-a-social-force-conceptualizing;2025;12/4/2026 22:47;12/4/2026 22:47;12/4/2026 22:47;1-32;;;Journal of Service Management
Z3I8PK6C;journalArticle;2022;"Manuel De Nicola; Christo Delightson David Raja";Cybersecurity and Blockchain Impacts on Value Creation Process: Empirical Evidences From Non-financial Disclosure;Organizational culture and internal awareness;Utilización de pruebas y simulaciones periódicas (ejercicios de ciberseguridad) para verificar eficacia;Cybersecurity and blockchain technologies significantly impact the value creation process in telecommunication industries, as evidenced by the depth of disclosures in 2020 and 2021.;As per the current trend, the digital transformation and the elements and technologies associated with it are growing for the better defense of the company itself. As the IR reports are getting common among many in the recent years, this research would be useful to identify the fairness of the company disclosures. For this purpose, this research has adopted a methodology of content analysis focusing on the telecommunication industries that are situated in the different parts of the globe to extract the depth of disclosures made by the sampled industries in the years 2020 and 2021 focusing only on the DT dimensions namely cybersecurity and blockchain.;Journal of Modern Accounting and Auditing;0;15486583, 19359683;10.17265/1548-6583/2022.06.001;http://www.davidpublisher.com/index.php/Home/Article/index?id=48552.html;2022;12/4/2026 22:48;12/4/2026 22:48;12/4/2026 22:48;;6;18;JMAA
IRJ9H22F;journalArticle;2025;"Tan, Weijie; Guo, Binhua; Zhang, Qiantao";Cybersecurity governance and corporate market value: Perspectives from investor trust and supply chain trust;Governance and adaptive leadership in cybersecurity;Desarrollo de políticas claras de acceso y gestión de identidades;Cybersecurity governance significantly enhances corporate market value by strengthening investor and supply chain trust, with government digital economy regulation further amplifying this positive impact.;In the digital era, data security and governance have become essential pillars for corporate ESG (Environmental, Social, and Governance) development and for maintaining social stability. This paper employs machine learning-based textual analysis to map cybersecurity governance in Chinese firms and government digital economy regulatory indicators. From the perspectives of investor trust and supply chain trust, and incorporating legitimacy theory, we empirically examine the relationship between cybersecurity governance, government digital economy regulation, and corporate market value. The study finds that cybersecurity governance significantly enhances corporate market value, primarily through a reputation-building mechanism that strengthens both investor trust and supply chain trust. Heterogeneity analysis shows that the market reputation effect of cybersecurity governance is more pronounced in firms with non-short-sighted management, stronger protection of trade secrets, higher media attention on ESG, and in high-tech industries. Furthermore, government digital economy regulation can further amplify the positive impact of corporate cybersecurity governance on market value, with the most significant effects observed in areas such as rights protection, data sharing, and security safeguards. The findings of this paper provide important practical insights for firms in emerging economies to address cybersecurity risks, stabilize supply chains, and enhance investor cooperation.;Pacific-Basin Finance Journal;8;0927538X;10.1016/j.pacfin.2024.102646;https://linkinghub.elsevier.com/retrieve/pii/S0927538X24003986;2024;12/4/2026 22:57;12/4/2026 22:57;12/4/2026 22:57;102646;;90;Pacific-Basin Finance Journal
B7RBW49G;journalArticle;2022;"Kosutic, Dejan; Pigni, Federico";Cybersecurity: investing for competitive outcomes;Technology integration and automation;Incorporación ágil de soluciones tecnológicas escalables según crecimiento del negocio;The Cybersecurity Competitive Advantage Model explains how to build dynamic cybersecurity capabilities to achieve long-term competitive advantage in various industries.;"
Purpose
The purpose of this paper is to help companies address the problem of ever-increasing cybersecurity investment that does not produce tangible business value – this is achieved by explaining the relationship between cybersecurity and competitive advantage.


Design/methodology/approach
The impact of cybersecurity on competitive advantage was explored through a qualitative research study – the authors conducted an extensive literature review and conducted two rounds of semi-structured interviews with executives and security professionals from companies in four countries, from the financial, IT and security industries.


Findings
The analysis of the findings enabled the conceptualization of the Cybersecurity Competitive Advantage Model that explains how to build up cybersecurity dynamic capabilities to achieve long-term competitive advantage.


Research limitations/implications
The research presents the theorization of the model based on an extensive literature review, gathered information, insight from qualified respondents and the authors’ experience in the field. While we controlled for saturation and rigorously collected and analyzed the data, the inductive approach followed may limit the generalizability of the findings.


Practical implications
The proposed model helps explain to executives how to differentiate their company in a novel way and how to retain that competitive advantage; security professionals can use the model to organize cybersecurity and communicate to their superiors more effectively.


Originality/value
The presented model differs from existing literature, cybersecurity frameworks and industry standards by presenting a method of avoiding technological bias and for achieving competitive advantage.
";Journal of Business Strategy;30;0275-6668, 2052-1197;10.1108/JBS-06-2020-0116;https://www.emerald.com/jbs/article/43/1/28/192873/Cybersecurity-investing-for-competitive-outcomes;2020;12/4/2026 22:52;12/4/2026 22:52;12/4/2026 22:52;28-36;1;43;Journal of Business Strategy
46S772ZJ;journalArticle;2021;Lee, In;Cybersecurity: Risk management framework and investment cost analysis;Organizational culture and internal awareness;Fortalecimiento de la comunicación interna y reporte oportuno de incidentes;This paper introduces a cyber risk management framework, demonstrates a continuous improvement process, and demonstrates the value of cyberinvestment through a real-world example.;As organizations accelerate digital transformation with mobile devices, cloud services, social media, and Internet of Things services, cybersecurity has become a key priority in enterprise risk management. While improving cybersecurity leads to higher levels of customer trust and increased revenue opportunities, rapidly evolving data protection and privacy regulations have complicated cybersecurity management. Against the backdrop of rapidly rising cyberbreaches and the emergence of novel cybersecurity technologies such as machine learning and artificial intelligence, this article introduces a cyber risk management framework, discusses a cyber risk assessment process, and illustrates a continuous improvement of cybersecurity performance and cyberinvestment cost analysis with a real-world cybersecurity example.;Business Horizons;126;00076813;10.1016/j.bushor.2021.02.022;https://linkinghub.elsevier.com/retrieve/pii/S0007681321000240;2021;12/4/2026 22:53;12/4/2026 22:53;12/4/2026 22:53;659-671;5;64;Business Horizons
2MVKPVZ4;journalArticle;2022;"Fedele, Alessandro; Roner, Cristian";Dangerous games: A literature review on cybersecurity investments;Financial optimization and efficient allocation of resources;Aplicación del análisis de coste-beneficio para justificar inversiones en ciberseguridad;Firms' incentives to invest in cybersecurity vary, with interdependent firms facing different challenges, and future research should focus on analyzing interdependent cybersecurity in competitive contexts.;"Cybersecurity has gained prominence in the decision-making of firms. Due to the increasing occurrences of threats in the cyberspace, investments in cybersecurity have become critical to mitigate the operational disruption of businesses. This paper surveys the theoretical literature on the firms’ incentives to invest in cybersecurity. A taxonomy of the existing contributions is provided to frame them in a common reference scheme and a model is developed to encompass such contributions and discuss their main findings. Papers that investigate the investment problem of an isolated firm are distinguished from those that consider interdependent firms. In turn, interdependent cybersecurity is analyzed in three different contexts: (i) firms that operate their business via a common computer network, but are not competitors in the product market; (ii) firms that are competitors in the product market, but run their business using non-interconnected computer systems; (iii) firms that are competitors and rely on a common computer network. Promising avenues for future research are discussed in the conclusions.";Journal of Economic Surveys;46;0950-0804, 1467-6419;10.1111/joes.12456;https://onlinelibrary.wiley.com/doi/10.1111/joes.12456;2021;12/4/2026 22:49;12/4/2026 22:49;12/4/2026 22:49;157-187;1;36;Journal of Economic Surveys
7MURQGUZ;journalArticle;2023;"Saeed, Saqib; Altamimi, Salha A.; Alkayyal, Norah A.; Alshehri, Ebtisam; Alabbad, Dina A.";Digital Transformation and Cybersecurity Challenges for Businesses Resilience: Issues and Recommendations;Financial optimization and efficient allocation of resources;Establecimiento de indicadores claves de desempeño (KPIs) específicos para la ciberseguridad;Digital transformation increases efficiency and productivity, but poses new cybersecurity challenges, requiring businesses to adopt a staged cybersecurity readiness framework to mitigate these risks.;This systematic literature review explores the digital transformation (DT) and cybersecurity implications for achieving business resilience. DT involves transitioning organizational processes to IT solutions, which can result in significant changes across various aspects of an organization. However, emerging technologies such as artificial intelligence, big data and analytics, blockchain, and cloud computing drive digital transformation worldwide while increasing cybersecurity risks for businesses undergoing this process. This literature survey article highlights the importance of comprehensive knowledge of cybersecurity threats during DT implementation to prevent interruptions due to malicious activities or unauthorized access by attackers aiming at sensitive information alteration, destruction, or extortion from users. Cybersecurity is essential to DT as it protects digital assets from cyber threats. We conducted a systematic literature review using the PRISMA methodology in this research. Our literature review found that DT has increased efficiency and productivity but poses new challenges related to cybersecurity risks, such as data breaches and cyber-attacks. We conclude by discussing future vulnerabilities associated with DT implementation and provide recommendations on how organizations can mitigate these risks through effective cybersecurity measures. The paper recommends a staged cybersecurity readiness framework for business organizations to be prepared to pursue digital transformation.;Sensors;190;1424-8220;10.3390/s23156666;https://www.mdpi.com/1424-8220/23/15/6666;2023;12/4/2026 22:55;12/4/2026 22:55;12/4/2026 22:55;6666;15;23;Sensors
UE72V2EW;journalArticle;2024;Kostelić, Katarina;Dynamic Awareness and Strategic Adaptation in Cybersecurity: A Game-Theory Approach;Technology integration and automation;Despliegue de estrategias de segmentación y aislamiento de redes críticas;Awareness in cybersecurity is crucial for managers to make effective decisions and adapt to threats, with accurate initial frequencies leading to optimal results.;Awareness and human factors are becoming ever more important in cybersecurity, particularly in the context of small companies that may need more resources to deal with cybersecurity effectively. This paper introduces a theoretical framework for game analysis of the role of awareness in strategic interactions between the manager and a hacker. A computable approach is proposed based on Bayesian updating to model awareness in a cybersecurity context. The process of gaining awareness considers the manager’s perception of the properties of the hacker’s actions, game history, and common knowledge. The role of awareness in strategy choices and outcomes is analyzed and simulated, providing insights into decision-making processes for managers and highlighting the need to consider probabilistic assessments of threats and the effectiveness of countermeasures. The accuracy of the initial frequencies plays a significant role in the manager’s success, with aligned frequencies leading to optimal results. Inaccurate information on prior frequencies still outperforms complete uncertainty, emphasizing the value of any available intelligence. However, the results suggest that other awareness modeling approaches are necessary to enhance the manager’s agility and adaptiveness when the prior frequencies do not reflect the immediate attacker’s type, indicating the need for improved intelligence about cyber-attacks and examinations of different awareness modeling approaches.;Games;10;2073-4336;10.3390/g15020013;https://www.mdpi.com/2073-4336/15/2/13;2024;12/4/2026 22:51;12/4/2026 22:51;12/4/2026 22:51;13;2;15;Games
VY3IEXT9;journalArticle;2021;"Rashid, Zahid; Noor, Umara; Altmann, Jörn";Economic model for evaluating the value creation through information sharing within the cybersecurity information sharing ecosystem;Interagency collaboration and regulatory best practices;Alianza con proveedores seguros y evaluación periódica de terceros;End users are the main source of value generation in cybersecurity information sharing ecosystems, but saturated markets may lead to un-sustainability.;Based on a comprehensive literature survey, the constructs of the cybersecurity information sharing ecosystem have been defined in detail. Using this ecosystem, the interrelationships among the stakeholders with respect to cybersecurity information sharing are analyzed, the value parameters are determined, the value functions are defined, and the values obtained by the stakeholders through simulation are calculated. Furthermore, it is investigated whether the stakeholders involved in this ecosystem can create sufficient value to sustain in the market. The outcome of this research includes an economic model for evaluating the value creation and distribution among the stakeholders. This model is a critical step forward to better align the values (i.e., utilities and profits) of stakeholders. The simulation results of the model show that end users are the main source of value generation. Cybersecurity solution providers and cybersecurity information providers get benefits from a growing installed base of end users. However, in saturated markets, there is a risk of un-sustainability of the ecosystem, as the cost of cybersecurity solutions and cybersecurity information cannot be recovered through their fees. The simulation model and the findings of this study can help business managers to make better decisions related to business strategies, sustainability, and pricing schemes for cybersecurity solution and cybersecurity information. Moreover, a working cybersecurity information sharing ecosystem is essential for the adoption of cloud computing and, especially, edge computing. It allows capturing, disseminating, and aggregating cybersecurity information from a large number of computing devices and computing providers reliably and accurately.;Future Generation Computer Systems;35;0167739X;10.1016/j.future.2021.05.033;https://linkinghub.elsevier.com/retrieve/pii/S0167739X21001837;2021;12/4/2026 22:54;12/4/2026 22:54;12/4/2026 22:54;436-466;;124;Future Generation Computer Systems
RWU2QKNE;journalArticle;2020;"Bailetti, Tony; Craigen, Dan";Examining the Relationship between Cybersecurity and Scaling Value for New Companies;Governance and adaptive leadership in cybersecurity;Integración de nuevas normativas internacionales para cumplimiento sectorial;Cybersecurity can be a business enabler and influencer for new companies, enabling rapid scaling of company value through a combination of external and internal resources.;"Increasingly, the professional literature is framing cybersecurity as a business enabler or an influencer rather than an overhead cost or an innovation blocker (Bello, 2019; Blivet, 2019; Cohen, 2019; Sloman, 2018; Trott, 2019; Watson, 2019). This literature urges companies’ security teams to deploy combinations of external and internal resources to create value and demonstrate that value (Trott, 2019). The purpose of this paper is to increase our understanding of the relationship between cybersecurity (as represented by 17 assertions) and new companies that scale company value rapidly (as represented by 137 assertions, including the cybersecurity assertions).";Technology Innovation Management Review;4;19270321;10.22215/timreview/1329;https://timreview.ca/article/1329;2020;12/4/2026 22:46;12/4/2026 22:46;12/4/2026 22:46;62-69;2;10;TIM Review
